1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	9.724291	0.000000	32.464499	0.215551	359.5
1	8.449257	0.000000	32.464499	0.198376	2.9
2	7.590790	0.000000	32.464499	0.174721	3.0
3	6.279682	0.000000	32.464499	0.158923	4.7
4	5.889763	0.000000	32.464499	0.156946	4.5
5	5.674478	0.000000	32.464499	0.146478	3.7
6	4.676716	0.000000	32.464499	0.118248	2.9
7	4.614347	0.000000	32.464499	0.115972	4.0
8	4.840067	0.000000	32.464499	0.115804	4.5
9	3.638769	0.000000	32.464499	0.097921	6.4
10	3.952148	0.000000	32.464499	0.098918	4.5
11	3.254594	0.000000	32.464499	0.087376	3.0
12	3.198168	0.000000	32.464499	0.073207	3.0
13	2.992782	0.000000	32.464499	0.069173	3.0
14	2.795703	0.000000	32.464499	0.070535	3.5
15	2.774216	0.000000	32.464499	0.063252	4.3
16	2.729972	0.000000	32.464499	0.056215	4.7
17	2.530381	0.000000	32.464499	0.057589	5.6
18	2.913168	0.000000	32.464499	0.070351	4.7
19	2.695790	0.000000	32.464499	0.060358	5.2
20	2.770374	0.000000	32.464499	0.055969	4.9
21	2.317068	0.000000	32.464499	0.049021	5.0
22	2.391539	0.000000	32.464499	0.049887	4.4
23	2.354940	0.000000	32.464499	0.056606	4.0
24	2.045088	0.000000	32.464499	0.053052	6.6
25	2.250685	0.000000	32.464499	0.045397	4.2
26	2.263585	0.000000	32.464499	0.054280	4.7
27	2.145599	0.000000	32.464499	0.042403	5.0
28	2.036255	0.000000	32.464499	0.045779	5.9
29	2.116889	0.000000	32.464499	0.045040	8.5
30	1.930592	0.000000	32.464499	0.046457	3.8
31	2.032965	0.000000	32.464499	0.044144	3.1
32	2.119314	0.000000	32.464499	0.041877	3.0
33	2.064795	0.000000	32.464499	0.043433	3.0
34	1.927021	0.000000	32.464499	0.040044	4.9
35	1.629527	0.000000	32.464499	0.040236	4.9
36	1.891993	0.000000	32.464499	0.038891	4.7
37	1.755064	0.000000	32.464499	0.041580	4.9
38	1.981528	0.000000	32.464499	0.038907	3.0
39	2.020653	0.000000	32.464499	0.037929	4.9
40	1.562772	0.000000	32.464499	0.035839	3.8
41	1.939953	0.000000	32.464499	0.044435	3.3
42	1.829153	0.000000	32.464499	0.045973	3.0
43	1.620537	0.000000	32.464499	0.036868	4.9
44	1.954116	0.000000	32.464499	0.037277	7.1
45	1.689944	0.000000	32.464499	0.034225	4.7
46	1.419948	0.000000	32.464499	0.029850	3.9
47	1.686964	0.000000	32.464499	0.040165	3.1
48	1.526871	0.000000	32.464499	0.034720	4.9
49	1.563375	0.000000	32.464499	0.038799	5.5
50	1.595815	0.000000	32.464499	0.033180	4.5
51	1.704609	0.000000	32.464499	0.037191	2.9
52	1.778258	0.000000	32.464499	0.029685	3.0
53	1.592024	0.000000	32.464499	0.031078	4.7
54	1.539476	0.000000	32.464499	0.040328	3.0
55	1.307161	0.000000	32.464499	0.028107	5.1
56	1.374886	0.000000	32.464499	0.029485	7.0
57	1.618234	0.000000	32.464499	0.031457	4.3
58	1.478892	0.000000	32.464499	0.028729	4.9
59	1.644633	0.000000	32.464499	0.030774	4.9
60	1.380034	0.000000	32.464499	0.030861	5.0
61	1.449231	0.000000	32.464499	0.024377	4.7
62	1.672356	0.000000	32.464499	0.038026	3.7
63	1.623727	0.000000	32.464499	0.029591	6.4
64	1.539903	0.000000	32.464499	0.031745	4.6
65	1.518564	0.000000	32.464499	0.024296	5.0
66	1.524488	0.000000	32.464499	0.030696	3.0
67	1.507546	0.000000	32.464499	0.027508	3.1
68	1.377543	0.000000	32.464499	0.026136	3.8
69	1.489489	0.000000	32.464499	0.034432	3.8
70	1.136078	0.000000	32.464499	0.029795	3.3
71	1.292425	0.282704	32.033264	0.028202	7.4
72	1.402976	0.525389	31.672110	0.029604	3.5
73	1.332909	0.447587	31.787001	0.030407	3.0
74	1.352560	0.364463	31.910676	0.029759	3.0
75	1.471890	0.267981	32.055439	0.031528	5.3
76	1.507558	0.171471	32.201564	0.034140	3.5
77	1.276429	0.219172	32.129174	0.027935	6.3
78	1.400654	0.122636	32.276013	0.026303	4.0
79	1.428684	0.027177	32.422539	0.026594	3.5
80	1.539549	0.000000	32.464499	0.027471	3.0
81	1.515943	0.000000	32.464499	0.024573	3.0
82	1.523424	0.000000	32.464499	0.030204	3.0
83	1.230185	0.000000	32.464499	0.025169	4.8
84	1.386889	0.000000	32.464499	0.027147	5.4
85	1.222583	0.000000	32.464499	0.022642	6.7
86	1.247433	0.000000	32.464499	0.029638	3.0
87	1.294447	0.000000	32.464499	0.023628	3.0
88	1.294834	0.000000	32.464499	0.023810	3.1
89	1.325819	0.000000	32.464499	0.023818	4.7
90	1.410034	0.000000	32.464499	0.026256	4.8
91	1.318394	0.000000	32.464499	0.029624	3.1
92	1.302378	0.383731	31.881924	0.026516	4.7
93	1.241603	0.287766	32.025646	0.033567	4.9
94	1.319728	1.111398	30.832716	0.028130	5.0
95	1.345302	1.017890	30.963660	0.023402	4.9
96	1.436482	0.921383	31.099976	0.029214	5.0
97	1.055911	0.895658	31.136515	0.028563	4.9
98	1.069204	0.828148	31.232814	0.024307	5.0
99	1.238871	1.261487	30.624839	0.029631	4.8
100	1.155160	1.249385	30.641498	0.024248	5.1
101	1.314239	1.203460	30.704875	0.024686	4.1
102	1.394824	1.112579	30.831070	0.033621	3.0
103	1.179608	1.016095	30.966185	0.023221	3.0
104	1.388364	1.265632	30.619139	0.035208	4.9
105	1.235948	1.265676	30.619079	0.033648	5.6
106	1.281382	2.262277	29.307298	0.034166	4.7
107	1.175962	2.165726	29.429446	0.027459	3.3
108	1.184580	2.080538	29.538067	0.022799	3.1
109	1.110249	1.987040	29.658210	0.022054	3.0
110	1.234254	1.916825	29.749081	0.025362	3.0
111	1.098385	1.820881	29.874152	0.036530	5.0
112	1.170369	1.827028	29.866107	0.026679	5.1
113	1.300413	1.754509	29.961292	0.029784	8.9
114	1.048089	1.658171	30.088681	0.024648	4.5
115	1.179312	2.353764	29.192487	0.021404	5.2
116	1.191022	2.343936	29.204778	0.022946	4.3
117	1.156704	2.461341	29.058632	0.026504	4.8
118	1.222778	2.837353	28.600259	0.031267	5.0
119	1.464299	3.821187	27.466635	0.030780	6.7
120	1.173600	4.734653	26.491691	0.023288	4.2
121	1.142329	4.641413	26.588022	0.026544	4.6
122	1.290089	4.652584	26.576445	0.023683	4.7
123	1.070639	5.228339	25.993048	0.022450	5.3
124	0.950085	5.156924	26.064015	0.021925	4.8
125	1.114587	5.882930	25.360125	0.025298	4.6
126	1.117272	5.787604	25.450371	0.019882	4.7
127	1.091902	5.695590	25.538094	0.024067	4.7
128	1.100229	5.602718	25.627249	0.028405	4.5
129	1.190170	6.320863	24.953621	0.025811	10.2
130	1.140507	7.031650	24.320882	0.019227	10.0
131	1.390533	6.963239	24.380383	0.030784	4.7
132	1.058474	6.868396	24.463355	0.019033	17.7
133	1.140446	6.802678	24.521180	0.030959	12.5
134	1.143485	6.715300	24.598488	0.024968	7.5
135	1.054746	6.618772	24.684460	0.032504	4.5
136	0.967991	7.614037	23.825875	0.024284	6.1
137	1.283335	8.604212	23.028968	0.024284	5.4
138	1.199046	8.871695	22.822758	0.031271	5.6
139	0.938528	9.765120	22.159981	0.026762	5.6
140	1.330047	10.764245	21.462952	0.026714	5.0
141	1.073144	10.717676	21.494465	0.023188	4.9
142	1.064706	10.621501	21.559839	0.031080	5.0
143	1.187527	10.828411	21.419683	0.028070	4.9
144	0.981728	11.688596	20.856034	0.021694	5.2
145	1.029745	11.621836	20.898716	0.022414	4.8
146	1.141339	11.527191	20.959525	0.030052	9.1
147	1.168812	12.486582	20.359034	0.029789	6.3
148	1.159587	12.390056	20.417889	0.027822	5.0
149	1.035770	13.353866	19.845059	0.027107	4.7
150	1.062654	14.347581	19.287161	0.018368	5.1
151	1.078103	14.678965	19.108022	0.018349	5.0
152	1.119060	14.585325	19.158304	0.022197	4.8
153	1.088644	14.560868	19.171480	0.021282	4.7
154	1.157080	14.502433	19.203035	0.024651	4.9
155	1.087778	14.426398	19.244250	0.028193	7.9
156	1.074076	14.329862	19.296834	0.022483	7.6
157	1.127204	15.217633	18.823827	0.025425	13.4
158	1.084598	15.273496	18.794838	0.033877	5.6
159	1.105744	15.856093	18.497742	0.024295	5.5
160	1.220783	16.259435	18.297499	0.029748	4.8
161	1.086232	16.585291	18.138864	0.021492	4.9
162	1.057339	16.778643	18.046029	0.027684	8.5
163	1.208438	16.694942	18.086099	0.023780	5.7
164	1.123742	16.624912	18.119763	0.026192	5.4
165	1.241205	16.729781	18.069399	0.025532	5.3
166	0.893498	16.674062	18.096123	0.026990	11.2
167	1.100052	16.580696	18.141082	0.021914	4.9
168	1.071921	16.492949	18.183538	0.035257	5.1
169	1.097030	16.396466	18.230452	0.024521	5.4
170	1.199902	17.392061	17.757694	0.031395	8.6
171	1.165833	18.371621	17.315885	0.020951	4.5
172	1.108565	19.286579	16.922620	0.022803	4.7
173	1.166896	19.192447	16.962253	0.020674	5.4
174	0.997238	19.132343	16.987657	0.028844	4.1
175	1.039137	19.153999	16.978495	0.023392	5.1
176	0.950681	19.236697	16.943599	0.018946	5.0
177	1.125188	19.267280	16.930731	0.023106	5.8
178	1.019711	19.251860	16.937217	0.022559	4.7
179	1.030044	19.160672	16.975674	0.016232	4.9
180	1.001763	19.079314	17.010133	0.022603	5.4
181	1.008062	19.136717	16.985806	0.030588	4.3
182	0.949377	19.042177	17.025909	0.021581	3.6
183	1.134899	19.867405	16.682108	0.028546	16.6
184	0.978906	19.771397	16.721391	0.022789	4.6
185	0.978146	19.674849	16.761082	0.017888	4.8
186	1.168565	19.586624	16.797516	0.022683	6.9
187	1.101549	19.650506	16.771119	0.022801	4.3
188	1.043001	19.559447	16.808771	0.025306	6.2
189	1.110079	19.462916	16.848871	0.022992	5.8
190	1.055033	19.368809	16.888149	0.020794	5.7
191	0.836344	19.282903	16.924164	0.024063	5.0
192	0.998275	19.391938	16.878479	0.019664	3.9
