1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
214	-1.042777	-0.572329	-0.470457	0.000009	2.875420	704.177493	0.001203	0.002465	0.000000	0.003142	1.2	2.1	1.2	8.2
215	-0.999208	-0.543588	-0.455629	0.000009	3.152650	696.094773	0.001919	0.002124	0.000000	0.003554	1.1	1.9	1.3	6.5
216	-0.981687	-0.546339	-0.435358	0.000009	2.362795	719.628521	0.001583	0.002286	0.000000	0.002596	1.1	1.7	1.2	7.8
217	-1.037404	-0.575205	-0.462207	0.000009	3.351735	690.403920	0.001361	0.002278	0.000000	0.002766	1.2	1.8	1.2	6.2
218	-1.006868	-0.543527	-0.463350	0.000009	4.301347	664.491631	0.004158	0.002775	0.000000	0.003947	1.2	5.1	1.3	11.6
219	-1.035888	-0.559029	-0.476867	0.000009	5.301259	639.229235	0.001382	0.002031	0.000000	0.002732	1.0	1.8	1.3	6.1
220	-1.044203	-0.569175	-0.475038	0.000009	6.126258	619.788159	0.001503	0.002660	0.000000	0.003429	1.0	1.7	1.1	6.2
221	-1.060697	-0.584266	-0.476440	0.000009	5.336416	638.375900	0.001538	0.002424	0.000000	0.003242	1.1	1.9	1.3	6.1
222	-1.036021	-0.568593	-0.467437	0.000009	5.770875	628.015829	0.001614	0.002890	0.000000	0.003205	1.3	1.8	1.2	7.4
223	-1.050835	-0.567615	-0.483229	0.000009	5.653902	630.771930	0.001509	0.001914	0.000000	0.002589	1.2	1.8	1.4	8.6
224	-1.038469	-0.560501	-0.477977	0.000009	6.649670	608.055482	0.001412	0.002085	0.000000	0.002391	1.2	1.7	1.3	8.2
225	-1.028365	-0.577991	-0.450383	0.000009	5.920751	624.519473	0.003366	0.005895	0.000000	0.003958	1.1	1.8	1.3	8.3
226	-1.036986	-0.567225	-0.469770	0.000009	6.776741	605.273789	0.001374	0.002287	0.000000	0.003239	1.1	1.8	1.3	9.7
227	-0.995870	-0.532214	-0.463666	0.000010	7.776678	584.241627	0.001282	0.003063	0.000000	0.003624	1.2	2.0	1.2	7.8
228	-1.050346	-0.566761	-0.483595	0.000009	6.983022	600.811930	0.001312	0.002547	0.000000	0.003013	1.2	1.8	1.4	10.3
229	-1.067239	-0.578985	-0.488263	0.000009	6.475294	611.914601	0.001672	0.003312	0.000000	0.004484	1.2	2.1	1.3	8.3
230	-1.107732	-0.614542	-0.493200	0.000009	7.165694	596.915282	0.001812	0.002898	0.000000	0.003969	1.3	2.1	1.6	8.9
231	-1.061870	-0.574797	-0.487082	0.000009	6.372201	614.219273	0.001557	0.002300	0.000000	0.002420	1.1	1.8	1.5	6.4
232	-1.031451	-0.571128	-0.460332	0.000009	7.372198	592.570704	0.001280	0.002223	0.000000	0.002849	1.2	1.8	1.2	8.4
233	-1.053834	-0.574664	-0.479179	0.000009	6.581792	609.551897	0.003574	0.002745	0.000000	0.005712	1.2	1.9	1.2	6.3
234	-1.088102	-0.597664	-0.490448	0.000010	5.790297	627.560541	0.001565	0.001928	0.000000	0.002821	1.2	1.8	1.4	6.4
